Subtotal Area	LISA REMMER	JOSEPH C ROBERTS	STEPHEN WAID	LEO LACAYO	RYAN LAM	CHRISTIAN FOSTER	JOSH YORK	EVE DEL CASTELLO	CHRIS WARD KLINE	ERIN SMITH	LARRY MARSO	NICOLE GARAY	CALE GARVERICK	KRISTA GARVERICK	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7551	3	2	2	1	6	1	3	2	3	4	2	2	3	4	24	9	0	0	61	38	0
Precinct 7552 - Vote By Mail	3	5	2	4	5	3	3	4	4	5	1	4	4	3	18	9	0	0	49	50	0
Precinct 7552 - Election Day	2	2	2	0	2	0	2	1	1	2	0	2	2	2	6	3	0	0	13	20	0
Precinct 7552	5	7	4	4	7	3	5	5	5	7	1	6	6	5	24	12	0	0	62	70	0
Precinct 7553 MB - Vote By Mail	4	3	4	4	3	2	1	4	4	4	3	2	5	4	12	8	0	0	41	47	0
Precinct 7553 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7553 MB	4	3	4	4	3	2	1	4	4	4	3	2	5	4	12	8	0	0	41	47	0
Precinct 7554 - Vote By Mail	6	2	6	4	2	3	5	1	2	4	5	3	5	6	18	7	0	0	23	54	0
Precinct 7554 - Election Day	0	1	1	1	0	2	1	2	2	2	1	2	2	1	5	4	0	0	26	18	0
Precinct 7554	6	3	7	5	2	5	6	3	4	6	6	5	7	7	23	11	0	0	49	72	0
Precinct 7555 - Vote By Mail	5	1	3	3	3	2	3	3	2	4	2	3	2	4	31	13	0	0	103	40	0
Precinct 7555 - Election Day	2	3	2	2	1	2	2	2	0	3	2	3	4	2	4	5	0	0	25	30	0
Precinct 7555	7	4	5	5	4	4	5	5	2	7	4	6	6	6	35	18	0	0	128	70	0
Precinct 7556/7557 - Vote By Mail	9	4	7	1	5	3	8	1	5	7	6	3	5	7	38	20	0	0	149	71	0
Precinct 7556/7557 - Election Day	4	3	2	0	3	2	2	1	0	4	2	1	3	1	7	8	0	0	60	28	0
Precinct 7556/7557	13	7	9	1	8	5	10	2	5	11	8	4	8	8	45	28	0	0	209	99	0
Precinct 7601 - Vote By Mail	3	8	4	4	5	5	3	5	5	6	3	6	6	3	32	15	0	0	99	66	0
Precinct 7601 - Election Day	2	2	2	1	1	1	0	0	2	1	1	1	0	0	7	7	0	0	63	14	0
Precinct 7601	5	10	6	5	6	6	3	5	7	7	4	7	6	3	39	22	0	0	162	80	0
Precinct 7602 - Vote By Mail	2	4	3	1	7	3	3	4	2	8	3	5	7	3	24	9	0	0	44	55	0
Precinct 7602 - Election Day	1	2	1	2	2	2	2	1	1	3	0	2	2	1	13	8	0	1	55	22	0
Precinct 7602	3	6	4	3	9	5	5	5	3	11	3	7	9	4	37	17	0	1	99	77	0
Precinct 7603 - Vote By Mail	2	3	1	1	1	2	0	1	2	3	0	0	0	0	22	8	0	0	72	16	0
Precinct 7603 - Election Day	1	0	0	0	0	0	0	1	0	0	0	1	1	1	9	3	0	0	28	5	0
Precinct 7603	3	3	1	1	1	2	0	2	2	3	0	1	1	1	31	11	0	0	100	21	0
Precinct 7604 - Vote By Mail	2	4	4	5	4	4	4	4	2	4	2	6	5	2	37	12	0	0	80	52	0
Precinct 7604 - Election Day	2	1	3	1	1	2	3	1	1	5	2	1	2	4	15	11	0	0	92	29	0
Precinct 7604	4	5	7	6	5	6	7	5	3	9	4	7	7	6	52	23	0	0	172	81	0
Precinct 7605 - Vote By Mail	3	5	3	3	2	3	3	2	2	4	3	2	2	2	36	12	0	0	93	39	0
Precinct 7605 - Election Day	3	2	2	1	1	1	2	1	1	2	2	0	1	1	10	7	0	0	57	20	0
Precinct 7605	6	7	5	4	3	4	5	3	3	6	5	2	3	3	46	19	0	0	150	59	0
Precinct 7606 - Vote By Mail	5	5	4	3	9	6	4	7	5	10	3	7	4	3	46	22	0	0	167	75	0
Precinct 7606 - Election Day	2	1	2	1	2	1	2	2	2	3	2	1	1	1	10	3	0	0	10	23	0
Precinct 7606	7	6	6	4	11	7	6	9	7	13	5	8	5	4	56	25	0	0	177	98	0
Precinct 7607 - Vote By Mail	8	7	8	7	5	6	9	3	4	10	9	5	7	9	36	15	0	0	68	97	0
Precinct 7607 - Election Day	1	2	1	1	0	1	1	0	1	0	2	0	1	0	2	3	0	0	21	12	1
Precinct 7607	9	9	9	8	5	7	10	3	5	10	11	5	8	9	38	18	0	0	89	109	1
Precinct 7608 - Vote By Mail	3	2	4	2	4	2	4	1	2	3	4	2	3	2	28	9	0	0	61	38	0
Precinct 7608 - Election Day	2	2	1	1	2	1	1	1	0	1	1	1	1	1	7	2	0	0	6	16	0
Precinct 7608	5	4	5	3	6	3	5	2	2	4	5	3	4	3	35	11	0	0	67	54	0
Precinct 7609 - Vote By Mail	8	7	8	7	7	8	8	4	6	9	6	6	6	7	28	12	0	0	35	97	0
Precinct 7609 - Election Day	2	3	1	2	1	2	1	1	3	3	1	2	2	1	12	6	0	0	41	25	0
Precinct 7609	10	10	9	9	8	10	9	5	9	12	7	8	8	8	40	18	0	0	76	122	0
Precinct 7611 - Vote By Mail	5	4	6	3	2	2	4	3	2	5	4	3	5	3	22	12	0	0	81	51	0
Precinct 7611 - Election Day	0	1	1	2	1	1	0	0	1	1	0	1	0	0	15	3	0	0	24	9	0
Precinct 7611	5	5	7	5	3	3	4	3	3	6	4	4	5	3	37	15	0	0	105	60	0
Precinct 7612 - Vote By Mail	5	5	4	5	4	6	4	2	2	6	3	4	3	4	24	11	0	0	64	57	0
Precinct 7612 - Election Day	1	0	1	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	8	3	0
Precinct 7612	6	5	5	5	4	6	4	2	2	6	3	4	3	5	34	12	0	0	72	60	0
Precinct 7613 - Vote By Mail	7	4	5	2	4	5	7	7	8	5	6	7	8	7	37	16	0	0	94	82	0
Precinct 7613 - Election Day	4	2	2	2	3	1	2	2	3	2	2	2	1	1	14	7	0	0	48	29	0
Precinct 7613	11	6	7	4	7	6	9	9	11	7	8	9	9	8	51	23	0	0	142	111	0
Precinct 7614 - Vote By Mail	6	5	3	3	7	3	5	3	3	5	5	4	6	3	36	17	0	0	126	61	0
Precinct 7614 - Election Day	0	1	1	1	1	0	1	1	2	1	1	0	1	1	3	3	0	0	21	12	0
Precinct 7614	6	6	4	4	8	3	6	4	5	6	6	4	7	4	39	20	0	0	147	73	0
Precinct 7615 - Vote By Mail	5	6	8	5	5	5	5	3	7	7	5	4	4	3	35	12	0	0	60	72	0
Precinct 7615 - Election Day	4	1	1	1	2	2	2	1	2	1	1	2	1	1	18	6	0	0	44	22	0
Precinct 7615	9	7	9	6	7	7	7	4	9	8	6	6	5	4	53	18	0	0	104	94	0
Precinct 7616 - Vote By Mail	5	4	1	3	4	3	1	2	4	6	2	3	5	1	34	10	0	0	66	44	0
Precinct 7616 - Election Day	0	2	0	0	3	0	0	3	1	1	0	1	3	0	8	4	0	0	30	14	0
Precinct 7616	5	6	1	3	7	3	1	5	5	7	2	4	8	1	42	14	0	0	96	58	0
Precinct 7617 - Vote By Mail	6	3	4	2	4	2	5	1	2	5	4	3	2	6	31	15	0	0	116	49	0
Precinct 7617 - Election Day	1	1	1	1	1	1	1	0	0	1	2	1	1	1	6	3	0	0	20	13	0
Precinct 7617	7	4	5	3	5	3	6	1	2	6	6	4	3	7	37	18	0	0	136	62	0
Precinct 7618 - Vote By Mail	3	2	2	1	5	5	4	4	3	6	4	2	7	4	34	13	0	0	91	52	0
Precinct 7618 - Election Day	2	3	2	2	3	1	2	3	1	2	2	1	1	2	11	5	0	0	28	27	0
Precinct 7618	5	5	4	3	8	6	6	7	4	8	6	3	8	6	45	18	0	0	119	79	0
Precinct 7619 - Vote By Mail	6	4	3	1	5	2	1	3	6	7	2	1	4	3	44	15	0	0	117	48	0
Precinct 7619 - Election Day	1	1	1	1	1	1	1	0	1	1	1	1	0	0	-1	2	0	0	11	11	0
Precinct 7619	7	5	4	2	6	3	2	3	7	8	3	2	4	3	43	17	0	0	128	59	0
Precinct 7621 - Vote By Mail	7	4	5	3	6	3	4	4	8	7	5	4	5	2	55	14	0	0	87	67	0
Precinct 7621 - Election Day	0	0	0	0	2	1	0	1	0	1	0	0	0	0	12	3	0	0	28	5	0
Precinct 7621	7	4	5	3	8	4	4	5	8	8	5	4	5	2	67	17	0	0	115	72	0
Precinct 7622 - Vote By Mail	3	2	2	5	2	1	3	6	2	3	3	2	1	4	43	13	0	0	104	39	0
Precinct 7622 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	0	0	32	1	0
Precinct 7622	4	2	2	5	2	1	3	6	2	3	3	2	1	4	63	16	0	0	136	40	0
Precinct 7623 - Vote By Mail	4	3	3	2	4	3	3	1	3	4	3	4	3	2	34	15	0	1	112	42	0
Precinct 7623 - Election Day	1	0	0	3	1	0	1	0	0	1	0	0	0	0	11	5	0	0	48	7	0
Precinct 7623	5	3	3	5	5	3	4	1	3	5	3	4	3	2	45	20	0	1	160	49	0
Precinct 7624 - Vote By Mail	7	2	5	5	2	3	6	3	3	2	3	4	6	5	39	10	0	0	54	56	0
Precinct 7624 - Election Day	1	1	0	1	0	0	1	0	0	1	0	0	0	2	13	4	0	0	37	7	0
Precinct 7624	8	3	5	6	2	3	7	3	3	3	3	4	6	7	52	14	0	0	91	63	0
Precinct 7625 - Vote By Mail	11	10	10	10	13	8	9	7	7	13	8	9	11	10	62	42	0	0	326	136	0
Precinct 7625 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	0	0	11	0	0
Precinct 7625	11	10	10	10	13	8	9	7	7	13	8	9	11	10	61	43	0	0	337	136	0
Precinct 7626 - Vote By Mail	8	7	6	2	7	6	5	2	6	8	4	4	6	5	56	19	0	0	133	76	0
Precinct 7626 - Election Day	1	1	1	1	1	1	1	1	0	2	0	2	1	2	20	3	0	0	18	15	0
Precinct 7626	9	8	7	3	8	7	6	3	6	10	4	6	7	7	76	22	0	0	151	91	0
Precinct 7627 - Vote By Mail	7	6	3	4	5	4	3	3	6	10	7	5	7	5	63	27	0	0	222	75	0
Precinct 7627 - Election Day	1	1	1	1	1	1	1	2	1	2	1	1	0	0	11	2	0	0	8	14	0
Precinct 7627	8	7	4	5	6	5	4	5	7	12	8	6	7	5	74	29	0	0	230	89	0
Precinct 7628 - Vote By Mail	2	3	3	1	1	1	2	1	1	1	2	1	2	3	27	12	0	0	108	24	0
Precinct 7628 - Election Day	0	0	1	1	1	1	1	0	0	1	0	0	0	0	14	5	0	0	49	6	0
Precinct 7628	2	3	4	2	2	2	3	1	1	2	2	1	2	3	41	17	0	0	157	30	0
Precinct 7629 - Vote By Mail	3	3	3	2	4	3	5	1	5	5	0	4	3	2	28	10	0	0	67	43	0
Precinct 7629 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	11	0	0
Precinct 7629	3	3	3	2	4	3	5	1	5	5	0	4	3	2	32	11	0	0	78	43	0
Precinct 7631 - Vote By Mail	6	6	5	1	3	3	5	4	7	6	5	6	6	4	38	15	0	0	98	67	0
Precinct 7631 - Election Day	3	0	2	2	0	1	1	2	0	5	1	1	2	3	11	7	0	0	54	23	0
Precinct 7631	9	6	7	3	3	4	6	6	7	11	6	7	8	7	49	22	0	0	152	90	0
Precinct 7632 - Vote By Mail	5	5	3	3	5	3	2	3	4	5	2	3	3	4	42	17	0	0	137	50	0
Precinct 7632 - Election Day	2	2	2	0	2	2	2	2	2	3	2	2	2	2	15	7	0	0	50	27	0
Precinct 7632	7	7	5	3	7	5	4	5	6	8	4	5	5	6	57	24	0	0	187	77	0
Precinct 7633 - Vote By Mail	8	3	5	2	5	3	5	1	4	7	4	3	7	4	34	16	0	0	115	61	0
Precinct 7633 - Election Day	1	2	1	2	1	1	1	1	2	2	2	2	2	1	12	3	0	0	12	21	0
Precinct 7633	9	5	6	4	6	4	6	2	6	9	6	5	9	5	46	19	0	0	127	82	0
Precinct 7634 - Vote By Mail	8	6	6	5	3	7	7	5	8	11	5	7	8	8	56	29	0	0	225	94	0
Precinct 7634 - Election Day	4	5	3	1	5	2	4	4	5	5	4	5	3	1	11	10	0	0	59	51	0
Precinct 7634	12	11	9	6	8	9	11	9	13	16	9	12	11	9	67	39	0	0	284	145	0
Precinct 7635 - Vote By Mail	5	2	3	1	5	2	3	2	4	5	3	3	3	3	34	9	0	0	55	44	0
Precinct 7635 - Election Day	1	0	1	0	0	0	1	1	0	0	1	0	1	1	12	3	0	0	26	7	0
Precinct 7635	6	2	4	1	5	2	4	3	4	5	4	3	4	4	46	12	0	0	81	51	0
Precinct 7636 - Vote By Mail	3	6	2	2	2	3	1	2	2	3	3	4	3	2	55	9	0	0	61	38	0
Precinct 7636 - Election Day	3	2	1	2	1	1	1	0	1	1	1	1	2	0	6	5	0	0	38	17	0
Precinct 7636	6	8	3	4	3	4	2	2	3	4	4	5	5	2	61	14	0	0	99	55	0
Precinct 7637 - Vote By Mail	7	2	6	3	10	3	7	3	2	12	6	5	10	6	73	25	0	0	193	82	0
Precinct 7637 - Election Day	5	2	4	2	4	3	4	4	2	5	3	5	4	3	8	6	0	0	16	50	0
Precinct 7637	12	4	10	5	14	6	11	7	4	17	9	10	14	9	81	31	0	0	209	132	0
Precinct 7638 - Vote By Mail	10	7	5	4	11	5	3	4	7	8	1	6	8	3	68	29	0	0	237	82	0
Precinct 7638 - Election Day	8	3	5	4	3	4	5	3	4	5	6	4	7	6	3	13	0	0	76	67	0
Precinct 7638	18	10	10	8	14	9	8	7	11	13	7	10	15	9	71	42	0	0	313	149	0
Precinct 7639 - Vote By Mail	9	5	6	6	14	6	7	4	5	10	7	7	9	8	60	23	0	0	150	103	0
Precinct 7639 - Election Day	5	3	3	3	1	3	4	2	2	5	3	4	5	3	9	7	0	0	31	46	0
Precinct 7639	14	8	9	9	15	9	11	6	7	15	10	11	14	11	69	30	0	0	181	149	0
Precinct 7641 - Vote By Mail	10	4	4	4	8	3	3	4	2	8	4	3	8	4	76	34	0	0	305	69	0
Precinct 7641 - Election Day	4	1	3	3	2	3	4	3	2	3	3	5	4	5	17	9	0	0	54	45	0
Precinct 7641	14	5	7	7	10	6	7	7	4	11	7	8	12	9	93	43	0	0	359	114	0
Precinct 7642 - Vote By Mail	5	3	1	2	4	4	2	2	3	7	2	3	2	3	49	26	0	0	243	43	0
Precinct 7642 - Election Day	1	1	0	1	1	1	0	1	1	1	0	1	1	0	10	6	0	0	56	10	0
Precinct 7642	6	4	1	3	5	5	2	3	4	8	2	4	3	3	59	32	0	0	299	53	0
Precinct 7643 - Vote By Mail	6	6	4	6	7	7	3	6	6	9	4	5	4	3	44	23	0	0	177	76	0
Precinct 7643 - Election Day	1	0	0	2	1	0	0	1	1	1	0	1	1	0	8	5	0	0	46	9	0
Precinct 7643	7	6	4	8	8	7	3	7	7	10	4	6	5	3	52	28	0	0	223	85	0
Precinct 7644 - Vote By Mail	3	2	3	1	0	0	3	1	2	2	3	2	3	3	40	10	0	0	82	28	0
Precinct 7644 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	1	0	0	11	0	0
Precinct 7644	3	2	3	1	0	0	3	1	2	2	3	2	3	3	38	11	0	0	93	28	0
Precinct 7645 - Vote By Mail	5	6	4	4	7	4	4	8	8	6	6	6	9	5	55	17	0	0	105	82	0
Precinct 7645 - Election Day	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	1	0	0	10	1	0
Precinct 7645	5	6	4	4	7	4	4	8	8	7	6	6	9	5	54	18	0	0	115	83	0
Precinct 7646 - Vote By Mail	10	6	6	7	8	10	8	7	6	16	9	10	10	7	56	23	0	0	133	120	0
Precinct 7646 - Election Day	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	0	0	0	11	0
Precinct 7646	11	7	7	8	8	11	9	7	6	17	10	11	11	8	56	24	0	0	133	131	0
Precinct 7647 - Vote By Mail	4	6	7	3	8	8	5	7	7	9	6	7	7	5	49	18	0	0	109	89	0
Precinct 7647 - Election Day	0	0	0	2	2	0	0	2	0	3	0	1	2	0	8	5	0	0	43	12	0
Precinct 7647	4	6	7	5	10	8	5	9	7	12	6	8	9	5	57	23	0	0	152	101	0
Precinct 7648 MB - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7648 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7648 MB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Precinct 7649 - Vote By Mail	10	9	5	8	5	9	7	8	8	9	6	6	8	7	45	20	0	0	115	105	0
Precinct 7649 - Election Day	1	1	0	2	1	1	0	1	1	1	0	1	3	1	6	6	0	0	52	14	0
Precinct 7649	11	10	5	10	6	10	7	9	9	10	6	7	11	8	51	26	0	0	167	119	0
Precinct 7651 - Vote By Mail	4	5	3	3	1	3	3	2	2	6	2	4	4	3	51	12	0	0	87	45	0
Precinct 7651 - Election Day	4	3	3	0	2	2	3	1	1	2	1	2	2	3	15	5	0	0	26	29	0
Precinct 7651	8	8	6	3	3	5	6	3	3	8	3	6	6	6	66	17	0	0	113	74	0
Precinct 7652 - Vote By Mail	3	1	2	1	4	2	3	3	3	4	4	2	3	3	31	7	0	0	39	38	0
Precinct 7652 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	11	0	0
Precinct 7652	3	1	2	1	4	2	3	3	3	4	4	2	3	3	34	8	0	0	50	38	0
Precinct 7653 - Vote By Mail	8	9	8	5	7	8	5	4	5	10	7	5	9	6	43	12	0	0	36	96	0
Precinct 7653 - Election Day	4	5	3	5	1	4	4	2	0	2	4	5	4	4	9	5	0	0	8	47	0
Precinct 7653	12	14	11	10	8	12	9	6	5	12	11	10	13	10	52	17	0	0	44	143	0
Precinct 7654 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
Precinct 7654 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	22	0	0
Precinct 7654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	2	0	0	22	0	0
Precinct 7655 - Vote By Mail	6	6	6	2	3	3	4	3	3	6	3	5	4	6	47	14	0	0	94	60	0
Precinct 7655 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Precinct 7655	6	6	6	2	3	3	4	3	3	6	3	5	4	6	52	14	0	0	94	60	0
Precinct 7656 - Vote By Mail	11	10	11	7	11	7	9	7	8	12	11	9	16	9	58	26	0	0	148	138	0
Precinct 7656 - Election Day	4	4	4	3	3	4	4	1	1	5	3	4	5	4	8	7	0	0	28	49	0
Precinct 7656	15	14	15	10	14	11	13	8	9	17	14	13	21	13	66	33	0	0	176	187	0
Precinct 7657 - Vote By Mail	3	2	3	2	4	2	3	4	2	6	3	3	6	2	31	12	0	0	87	45	0
Precinct 7657 - Election Day	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	1	0	0	10	1	0
Precinct 7657	4	2	3	2	4	2	3	4	2	6	3	3	6	2	28	13	0	0	97	46	0
Precinct 7701 - Vote By Mail	10	8	10	7	6	6	13	4	4	13	12	7	7	9	57	34	0	0	258	116	0
Precinct 7701 - Election Day	12	8	8	9	4	5	8	3	2	10	7	9	12	9	14	15	0	0	58	107	1
Precinct 7701	22	16	18	16	10	11	21	7	6	23	19	16	19	18	71	49	0	0	316	223	1
Precinct 7702 - Vote By Mail	16	8	12	7	10	9	10	10	4	18	9	11	15	10	64	41	0	0	302	149	0
Precinct 7702 - Election Day	3	3	4	2	7	3	4	2	1	5	3	1	4	2	14	9	0	0	55	44	0
Precinct 7702	19	11	16	9	17	12	14	12	5	23	12	12	19	12	78	50	0	0	357	193	0
Precinct 7703 MB - Vote By Mail	2	0	2	1	0	2	1	1	0	0	0	1	0	2	12	4	0	0	32	12	0
Precinct 7703 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7703 MB	2	0	2	1	0	2	1	1	0	0	0	1	0	2	11	4	0	0	32	12	0
Precinct 7704 - Vote By Mail	24	15	17	11	17	20	17	9	12	30	17	19	25	15	87	56	0	0	368	248	0
Precinct 7704 - Election Day	5	2	3	2	2	4	3	0	0	4	3	3	4	3	15	15	0	0	127	38	0
Precinct 7704	29	17	20	13	19	24	20	9	12	34	20	22	29	18	102	71	0	0	495	286	0
Precinct 7705 - Vote By Mail	8	5	5	4	7	7	7	4	6	12	3	6	7	6	62	34	0	0	287	87	0
Precinct 7705 - Election Day	1	0	0	0	1	1	0	0	1	0	0	0	1	0	6	7	0	1	61	5	0
Precinct 7705	9	5	5	4	8	8	7	4	7	12	3	6	8	6	68	41	0	1	348	92	0
Precinct 7706 - Vote By Mail	9	10	9	7	11	11	9	6	4	18	8	11	11	8	60	35	0	1	242	132	0
Precinct 7706 - Election Day	12	6	7	8	6	8	8	4	3	11	7	7	9	3	21	21	0	0	132	99	0
Precinct 7706	21	16	16	15	17	19	17	10	7	29	15	18	20	11	81	56	0	1	374	231	0
Precinct 7707 - Vote By Mail	9	8	6	7	6	9	6	5	6	9	6	7	6	1	51	24	0	0	173	91	0
Precinct 7707 - Election Day	10	5	6	3	6	4	4	3	3	7	6	3	7	8	26	19	0	0	134	75	0
Precinct 7707	19	13	12	10	12	13	10	8	9	16	12	10	13	9	77	43	0	0	307	166	0
Precinct 7708 - Vote By Mail	14	6	12	9	9	8	12	7	9	15	13	9	13	13	46	35	0	0	236	149	0
Precinct 7708 - Election Day	2	2	2	2	0	2	2	2	0	5	2	3	4	2	16	8	0	0	58	30	0
Precinct 7708	16	8	14	11	9	10	14	9	9	20	15	12	17	15	62	43	0	0	294	179	0
Precinct 7709 - Vote By Mail	9	6	5	3	2	2	4	4	4	4	5	3	4	6	25	13	0	0	82	61	0
Precinct 7709 - Election Day	0	1	0	2	2	1	0	0	0	2	1	2	1	1	5	9	0	0	86	13	0
Precinct 7709	9	7	5	5	4	3	4	4	4	6	6	5	5	7	30	22	0	0	168	74	0
Precinct 7711 - Vote By Mail	6	2	4	4	8	3	4	3	3	10	3	3	7	2	37	21	0	0	169	62	0
Precinct 7711 - Election Day	4	0	1	0	3	1	2	2	2	2	3	2	2	2	4	8	0	0	62	26	0
Precinct 7711	10	2	5	4	11	4	6	5	5	12	6	5	9	4	41	29	0	0	231	88	0
Precinct 7712 - Vote By Mail	4	4	3	4	4	4	4	1	1	5	4	4	8	3	18	11	0	0	68	53	0
Precinct 7712 - Election Day	0	1	0	1	1	1	0	1	1	2	1	1	1	1	4	4	0	0	31	13	1
Precinct 7712	4	5	3	5	5	5	4	2	2	7	5	5	9	4	22	15	0	0	99	66	1
Precinct 7801 - Vote By Mail	13	8	13	8	10	7	9	5	5	12	10	9	13	9	49	29	0	0	188	131	0
Precinct 7801 - Election Day	1	2	0	2	2	1	0	2	2	2	1	3	2	1	4	6	0	0	45	21	0
Precinct 7801	14	10	13	10	12	8	9	7	7	14	11	12	15	10	53	35	0	0	233	152	0
Precinct 7802 - Vote By Mail	1	2	2	2	2	2	2	1	2	3	2	2	2	2	23	11	0	0	94	27	0
Precinct 7802 - Election Day	2	1	1	1	0	1	1	0	1	2	1	1	1	2	8	3	0	0	18	15	0
Precinct 7802	3	3	3	3	2	3	3	1	3	5	3	3	3	4	31	14	0	0	112	42	0
Precinct 7803 - Vote By Mail	5	5	3	4	2	3	2	3	1	6	2	5	6	4	15	9	0	0	48	51	0
Precinct 7803 - Election Day	1	1	1	0	1	0	1	1	0	1	1	1	1	1	7	2	0	0	11	11	0
Precinct 7803	6	6	4	4	3	3	3	4	1	7	3	6	7	5	22	11	0	0	59	62	0
Precinct 7804 - Vote By Mail	5	4	3	2	2	5	4	2	2	5	4	4	5	4	17	11	0	1	59	51	0
Precinct 7804 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Precinct 7804	5	4	3	2	2	5	4	2	2	5	4	4	5	4	19	11	0	1	59	51	0
Precinct 7805 - Vote By Mail	3	2	3	2	0	0	2	1	1	0	2	1	1	3	18	9	0	0	78	21	0
Precinct 7805 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7805	3	2	3	2	0	0	2	1	1	0	2	1	1	3	17	9	0	0	78	21	0
Precinct 7806 - Vote By Mail	9	5	7	4	2	6	5	2	4	6	6	6	7	6	20	12	0	0	57	75	0
Precinct 7806 - Election Day	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	18	4	0
Precinct 7806	10	6	7	4	3	6	5	2	4	7	6	6	7	6	20	14	0	0	75	79	0
Precinct 7807 - Vote By Mail	1	2	1	1	1	1	1	1	0	2	1	2	2	1	10	3	0	0	16	17	0
Precinct 7807 - Election Day	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	1	0	0	10	1	0
Precinct 7807	1	2	1	1	2	1	1	1	0	2	1	2	2	1	15	4	0	0	26	18	0
Precinct 7808 - Vote By Mail	3	4	3	2	1	3	2	3	3	4	2	3	3	2	10	7	0	0	39	38	0
Precinct 7808 - Election Day	1	1	1	1	1	1	1	1	0	1	1	0	0	1	4	2	0	0	10	12	1
Precinct 7808	4	5	4	3	2	4	3	4	3	5	3	3	3	3	14	9	0	0	49	50	1
Precinct 7809 - Vote By Mail	1	3	1	3	2	4	1	2	2	4	1	3	3	1	11	6	0	0	35	31	0
Precinct 7809 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	11	0	0
Precinct 7809	1	3	1	3	2	4	1	2	2	4	1	3	3	1	12	7	0	0	46	31	0
Precinct 7811 - Vote By Mail	0	1	0	1	2	1	1	1	1	2	0	1	3	0	14	7	0	0	63	14	0
Precinct 7811 - Election Day	1	2	0	1	2	0	1	1	2	2	1	2	1	1	10	3	0	0	16	17	0
Precinct 7811	1	3	0	2	4	1	2	2	3	4	1	3	4	1	24	10	0	0	79	31	0
Precinct 7812 - Vote By Mail	4	4	5	2	1	4	3	1	1	5	3	3	3	4	19	10	0	0	67	43	0
Precinct 7812 - Election Day	2	2	2	3	3	1	2	0	0	5	2	2	2	3	17	14	0	0	125	29	0
Precinct 7812	6	6	7	5	4	5	5	1	1	10	5	5	5	7	36	24	0	0	192	72	0
Precinct 7813 - Vote By Mail	2	1	2	3	2	3	2	5	1	3	2	3	3	2	18	8	0	0	54	34	0
Precinct 7813 - Election Day	1	2	1	2	3	2	2	2	2	2	2	2	3	1	8	6	0	0	39	27	0
Precinct 7813	3	3	3	5	5	5	4	7	3	5	4	5	6	3	26	14	0	0	93	61	0
Precinct 7814 - Vote By Mail	1	0	1	0	2	1	1	2	1	2	0	0	1	1	23	5	0	0	42	13	0
Precinct 7814 - Election Day	0	2	0	1	1	2	1	1	1	0	0	0	1	1	13	6	0	0	55	11	0
Precinct 7814	1	2	1	1	3	3	2	3	2	2	0	0	2	2	36	11	0	0	97	24	0
Precinct 7815 - Vote By Mail	1	1	1	1	0	1	1	0	0	3	1	1	1	0	10	4	0	0	32	12	0
Precinct 7815 - Election Day	2	1	2	1	2	0	1	1	0	2	2	1	2	2	6	3	0	0	14	19	0
Precinct 7815	3	2	3	2	2	1	2	1	0	5	3	2	3	2	16	7	0	0	46	31	0
Precinct 7816 - Vote By Mail	3	3	2	4	2	6	3	2	3	4	2	2	3	2	18	9	0	0	58	41	0
Precinct 7816 - Election Day	2	1	1	1	0	0	1	0	0	1	1	2	1	1	6	3	0	0	21	12	0
Precinct 7816	5	4	3	5	2	6	4	2	3	5	3	4	4	3	24	12	0	0	79	53	0
