Subtotal Area	JULIÁN CASTRO	MICHAEL A. ELLINGER	ELIZABETH WARREN	MARIANNE WILLIAMSON	ANDREW YANG	ROQUE "ROCKY" DE LA FUENTE III	JOHN K. DELANEY	AMY KLOBUCHAR	BERNIE SANDERS	JOE SESTAK	TOM STEYER	DEVAL PATRICK	MICHAEL BENNET	MICHAEL R. BLOOMBERG	MOSIE BOYD	CORY BOOKER	PETE BUTTIGIEG	JOSEPH R. BIDEN	TULSI GABBARD	MARK STEWART GREENSTEIN	NAKIA L. ANTHONY	DAPHNE DENISE BRADFORD	WILLIE FELIX CARTER	MICHAEL DENAME	JEFFREY H. DROBMAN	ROBERT JORDAN	HEATHER MARIE STAGG	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 7904 - Election Day	0	0	32	0	0	0	0	0	61	0	0	0	0	2	0	0	0	20	0	0	0	0	0	0	0	0	0	157	115	0	0	0	115	0
Precinct 7904	1	0	100	0	5	0	0	1	169	0	0	0	1	23	0	0	13	56	1	0	0	0	0	0	0	0	0	837	371	0	1	0	370	0
Precinct 7905 - Vote By Mail	0	0	74	0	3	0	0	3	118	0	3	0	0	32	0	0	21	55	2	0	0	0	0	0	0	0	0	684	312	0	0	1	311	0
Precinct 7905 - Election Day	0	0	43	0	1	0	0	0	85	0	0	0	0	9	0	0	0	39	1	0	0	0	0	0	0	0	0	191	178	0	0	0	178	0
Precinct 7905	0	0	117	0	4	0	0	3	203	0	3	0	0	41	0	0	21	94	3	0	0	0	0	0	0	0	0	875	490	0	0	1	489	0
Precinct 7906 - Vote By Mail	0	0	92	0	3	0	0	4	96	0	0	0	0	15	0	0	8	34	1	0	0	0	0	0	0	0	0	599	254	0	1	0	253	0
Precinct 7906 - Election Day	0	0	30	0	0	0	0	0	62	0	0	0	0	3	0	0	1	19	0	0	0	0	0	0	0	0	0	187	116	0	1	0	115	0
Precinct 7906	0	0	122	0	3	0	0	4	158	0	0	0	0	18	0	0	9	53	1	0	0	0	0	0	0	0	0	786	370	0	2	0	368	0
Precinct 7907 - Vote By Mail	1	1	81	0	3	0	0	5	151	0	1	0	0	24	0	0	14	40	1	0	0	0	0	0	0	0	0	704	323	0	1	0	322	0
Precinct 7907 - Election Day	0	0	44	0	0	0	0	0	83	0	1	0	0	5	0	0	1	28	0	0	0	0	0	0	0	0	0	238	162	0	0	0	162	0
Precinct 7907	1	1	125	0	3	0	0	5	234	0	2	0	0	29	0	0	15	68	1	0	0	0	0	0	0	0	0	942	485	0	1	0	484	0
Precinct 7908 - Vote By Mail	2	0	91	0	4	0	0	2	131	0	4	0	1	29	0	0	16	36	0	0	0	0	0	0	0	0	0	752	320	0	0	4	316	0
Precinct 7908 - Election Day	0	0	39	0	1	0	0	0	91	0	0	0	0	4	0	0	0	32	0	0	0	0	0	0	0	0	0	240	167	0	0	0	167	0
Precinct 7908	2	0	130	0	5	0	0	2	222	0	4	0	1	33	0	0	16	68	0	0	0	0	0	0	0	0	0	992	487	0	0	4	483	0
Precinct 7909 - Vote By Mail	0	0	104	1	0	1	0	5	114	0	2	0	0	19	0	0	9	30	0	0	0	0	0	0	0	0	0	558	288	0	0	3	285	0
Precinct 7909 - Election Day	1	0	45	0	0	0	0	0	62	0	1	0	0	6	0	0	0	22	0	0	0	0	0	0	0	0	0	185	137	0	0	0	137	0
Precinct 7909	1	0	149	1	0	1	0	5	176	0	3	0	0	25	0	0	9	52	0	0	0	0	0	0	0	0	0	743	425	0	0	3	422	0
Precinct 7911 - Vote By Mail	1	0	84	0	0	0	0	3	115	0	0	0	0	22	0	0	18	40	3	0	0	0	0	0	0	0	0	666	287	0	0	1	286	0
Precinct 7911 - Election Day	0	0	35	0	0	0	0	0	57	0	0	0	0	9	0	0	0	21	1	0	0	0	0	0	0	0	0	205	123	0	0	0	123	0
Precinct 7911	1	0	119	0	0	0	0	3	172	0	0	0	0	31	0	0	18	61	4	0	0	0	0	0	0	0	0	871	410	0	0	1	409	0
Precinct 7912 - Vote By Mail	0	0	133	0	1	0	0	3	132	0	0	0	0	27	0	0	23	28	0	0	0	0	0	0	0	0	0	800	348	0	0	1	347	0
Precinct 7912 - Election Day	0	0	43	0	0	0	0	0	90	0	1	0	0	9	0	0	1	33	1	0	0	0	0	0	0	0	0	259	179	0	1	0	178	0
Precinct 7912	0	0	176	0	1	0	0	3	222	0	1	0	0	36	0	0	24	61	1	0	0	0	0	0	0	0	0	1,059	527	0	1	1	525	0
Precinct 7913 - Vote By Mail	1	0	94	0	1	1	0	0	133	0	3	0	0	13	0	0	13	40	1	0	0	0	0	0	0	0	0	660	306	0	2	4	300	0
Precinct 7913 - Election Day	0	0	50	0	0	0	0	1	105	0	0	0	0	7	0	0	1	45	0	0	0	0	0	0	0	0	0	263	210	0	0	1	209	0
Precinct 7913	1	0	144	0	1	1	0	1	238	0	3	0	0	20	0	0	14	85	1	0	0	0	0	0	0	0	0	923	516	0	2	5	509	0
Precinct 7914 - Vote By Mail	0	0	107	0	1	0	0	1	162	0	1	0	0	16	0	0	9	55	0	0	0	0	0	0	0	0	0	715	355	0	1	2	352	0
Precinct 7914 - Election Day	0	0	36	0	0	0	0	0	73	0	0	0	0	5	0	0	2	20	0	0	0	0	0	0	0	0	0	187	137	0	0	1	136	0
Precinct 7914	0	0	143	0	1	0	0	1	235	0	1	0	0	21	0	0	11	75	0	0	0	0	0	0	0	0	0	902	492	0	1	3	488	0
Precinct 7915 - Vote By Mail	1	0	81	0	1	0	0	1	113	0	3	0	1	14	0	0	11	28	1	0	0	0	0	0	0	0	0	605	258	0	0	3	255	0
Precinct 7915 - Election Day	0	0	46	0	0	0	0	0	90	0	0	0	0	9	0	0	0	32	0	0	0	0	0	0	0	0	0	238	177	0	0	0	177	0
Precinct 7915	1	0	127	0	1	0	0	1	203	0	3	0	1	23	0	0	11	60	1	0	0	0	0	0	0	0	0	843	435	0	0	3	432	0
Precinct 7916 - Vote By Mail	0	0	76	0	5	1	0	5	130	0	4	0	0	26	0	0	16	39	1	0	0	0	0	0	0	0	0	639	305	0	1	1	303	0
Precinct 7916 - Election Day	0	0	51	0	0	0	0	0	74	0	0	0	0	6	0	0	0	28	1	0	0	0	0	0	0	0	0	219	160	0	0	0	160	0
Precinct 7916	0	0	127	0	5	1	0	5	204	0	4	0	0	32	0	0	16	67	2	0	0	0	0	0	0	0	0	858	465	0	1	1	463	0
Precinct 7917 - Vote By Mail	2	0	76	0	2	0	0	4	168	0	1	0	0	25	0	0	9	34	0	0	0	0	0	0	0	0	0	716	324	0	0	3	321	0
Precinct 7917 - Election Day	0	0	47	0	0	0	0	0	101	0	0	0	0	4	0	0	1	28	1	0	0	0	0	0	0	0	0	271	184	0	0	2	182	0
Precinct 7917	2	0	123	0	2	0	0	4	269	0	1	0	0	29	0	0	10	62	1	0	0	0	0	0	0	0	0	987	508	0	0	5	503	0
Precinct 7918 - Vote By Mail	0	0	91	0	0	0	0	3	128	0	2	0	0	10	0	0	10	34	0	0	0	0	0	0	0	0	0	597	280	0	0	2	278	0
Precinct 7918 - Election Day	0	0	38	0	0	0	0	1	67	0	0	0	0	7	0	0	0	25	0	1	0	0	0	0	0	0	0	227	139	0	0	0	139	0
Precinct 7918	0	0	129	0	0	0	0	4	195	0	2	0	0	17	0	0	10	59	0	1	0	0	0	0	0	0	0	824	419	0	0	2	417	0
Precinct 7919 - Vote By Mail	1	0	84	0	2	0	0	1	129	0	0	0	0	12	0	1	8	25	0	0	0	0	0	0	0	0	0	608	263	0	0	0	263	0
Precinct 7919 - Election Day	1	1	46	0	0	0	0	0	93	0	2	0	0	3	0	0	0	26	0	0	0	0	0	0	0	0	0	258	172	0	0	0	172	0
Precinct 7919	2	1	130	0	2	0	0	1	222	0	2	0	0	15	0	1	8	51	0	0	0	0	0	0	0	0	0	866	435	0	0	0	435	0
Precinct 7921 - Vote By Mail	0	0	63	0	0	0	0	0	130	0	2	0	1	15	0	1	8	33	0	1	0	0	0	0	0	0	0	682	258	0	0	4	254	0
Precinct 7921 - Election Day	0	0	16	0	0	0	0	0	49	0	0	0	0	5	0	0	0	25	1	0	0	0	0	0	0	0	0	229	96	0	0	0	96	0
Precinct 7921	0	0	79	0	0	0	0	0	179	0	2	0	1	20	0	1	8	58	1	1	0	0	0	0	0	0	0	911	354	0	0	4	350	0
Precinct 7922 - Vote By Mail	0	0	74	0	2	0	0	3	145	0	2	0	0	12	0	0	12	27	0	0	0	0	0	0	0	0	0	648	280	0	1	2	277	0
Precinct 7922 - Election Day	0	0	32	0	0	0	0	0	86	0	0	0	0	6	0	0	2	24	0	0	0	0	0	0	0	0	0	210	150	0	0	0	150	0
Precinct 7922	0	0	106	0	2	0	0	3	231	0	2	0	0	18	0	0	14	51	0	0	0	0	0	0	0	0	0	858	430	0	1	2	427	0
Precinct 7923 - Vote By Mail	1	0	93	0	2	0	0	3	130	0	3	0	1	20	0	0	12	29	4	0	0	0	0	0	0	0	0	666	300	0	0	2	298	0
Precinct 7923 - Election Day	0	0	34	0	0	0	0	0	89	0	0	0	0	4	0	0	0	34	1	0	0	0	0	0	0	0	0	214	162	0	0	0	162	0
Precinct 7923	1	0	127	0	2	0	0	3	219	0	3	0	1	24	0	0	12	63	5	0	0	0	0	0	0	0	0	880	462	0	0	2	460	0
Precinct 7924 - Vote By Mail	0	1	63	0	4	0	0	3	131	0	0	0	0	18	0	0	6	30	0	0	0	0	0	0	0	0	0	649	258	0	2	0	256	0
Precinct 7924 - Election Day	1	0	31	0	0	0	0	0	66	0	0	0	0	8	0	0	0	17	0	0	0	0	0	0	0	0	0	202	123	0	0	0	123	0
Precinct 7924	1	1	94	0	4	0	0	3	197	0	0	0	0	26	0	0	6	47	0	0	0	0	0	0	0	0	0	851	381	0	2	0	379	0
Precinct 7925 - Vote By Mail	0	0	58	0	0	0	0	2	88	0	2	0	0	15	0	1	9	30	1	0	0	0	0	0	0	0	0	434	208	0	0	2	206	0
Precinct 7925 - Election Day	0	0	22	0	0	0	0	1	39	0	0	0	0	3	0	0	0	14	0	0	0	0	0	0	0	0	0	110	80	0	0	1	79	0
Precinct 7925	0	0	80	0	0	0	0	3	127	0	2	0	0	18	0	1	9	44	1	0	0	0	0	0	0	0	0	544	288	0	0	3	285	0
Precinct 7926 - Vote By Mail	1	1	109	0	0	0	0	7	103	0	6	0	0	28	0	0	8	41	0	0	0	0	0	0	0	0	0	610	306	0	1	1	304	0
Precinct 7926 - Election Day	0	0	44	0	0	0	0	0	51	0	1	0	0	8	0	0	0	40	0	0	0	0	0	0	0	0	0	178	145	0	0	1	144	0
Precinct 7926	1	1	153	0	0	0	0	7	154	0	7	0	0	36	0	0	8	81	0	0	0	0	0	0	0	0	0	788	451	0	1	2	448	0
Precinct 7927 - Vote By Mail	0	0	124	0	0	0	0	6	93	0	2	0	0	30	0	0	19	39	0	0	0	0	0	0	0	0	0	580	315	0	1	1	313	0
Precinct 7927 - Election Day	0	0	48	0	0	0	0	1	53	0	0	0	0	10	0	0	2	33	1	0	0	0	0	0	0	0	0	162	149	0	0	1	148	0
Precinct 7927	0	0	172	0	0	0	0	7	146	0	2	0	0	40	0	0	21	72	1	0	0	0	0	0	0	0	0	742	464	0	1	2	461	0
Precinct 7928 - Vote By Mail	0	0	128	1	0	0	0	3	128	0	5	0	0	23	0	0	15	56	0	0	0	0	0	0	0	0	0	700	359	0	0	0	359	0
Precinct 7928 - Election Day	0	0	68	0	0	0	0	0	86	0	0	0	0	5	0	0	0	44	0	0	0	0	0	0	0	0	0	217	203	0	0	0	203	0
Precinct 7928	0	0	196	1	0	0	0	3	214	0	5	0	0	28	0	0	15	100	0	0	0	0	0	0	0	0	0	917	562	0	0	0	562	0
Precinct 7929 - Vote By Mail	0	0	123	0	0	0	0	16	120	0	4	0	0	37	0	0	26	60	0	0	0	0	0	0	0	0	0	678	387	0	0	1	386	0
Precinct 7929 - Election Day	1	0	76	0	0	0	0	0	49	0	0	0	0	8	0	0	0	29	0	0	0	0	0	0	0	0	0	169	163	0	0	0	163	0
Precinct 7929	1	0	199	0	0	0	0	16	169	0	4	0	0	45	0	0	26	89	0	0	0	0	0	0	0	0	0	847	550	0	0	1	549	0
Precinct 7931 - Vote By Mail	0	0	111	0	2	0	0	12	93	0	1	0	0	29	0	0	23	72	2	0	0	0	0	0	0	0	0	610	346	0	0	1	345	0
Precinct 7931 - Election Day	0	0	49	0	0	0	0	0	40	0	0	0	0	8	0	0	0	48	0	0	0	0	0	0	0	0	0	141	145	0	0	0	145	0
Precinct 7931	0	0	160	0	2	0	0	12	133	0	1	0	0	37	0	0	23	120	2	0	0	0	0	0	0	0	0	751	491	0	0	1	490	0
Precinct 7932 - Vote By Mail	0	0	71	0	3	0	0	7	70	0	0	0	1	29	0	0	14	49	0	0	0	0	0	0	0	0	0	443	246	0	0	2	244	0
Precinct 7932 - Election Day	0	0	28	0	0	0	0	1	36	0	0	0	0	3	0	0	1	27	0	0	0	0	0	0	0	0	0	118	96	0	0	0	96	0
Precinct 7932	0	0	99	0	3	0	0	8	106	0	0	0	1	32	0	0	15	76	0	0	0	0	0	0	0	0	0	561	342	0	0	2	340	0
Precinct 7933 MB - Vote By Mail	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	9	5	0	0	0	5	0
Precinct 7933 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
Precinct 7933 MB	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	8	5	0	0	0	5	0
Precinct 7934 - Vote By Mail	0	0	123	0	6	0	0	7	142	0	2	0	0	17	0	0	24	54	1	0	0	0	0	0	0	0	0	702	379	0	0	3	376	0
Precinct 7934 - Election Day	0	0	47	0	0	0	0	0	64	0	0	0	0	6	0	0	1	28	1	0	0	0	0	0	0	0	0	182	148	0	0	0	148	1
Precinct 7934	0	0	170	0	6	0	0	7	206	0	2	0	0	23	0	0	25	82	2	0	0	0	0	0	0	0	0	884	527	0	0	3	524	1
Precinct 7935 - Vote By Mail	1	0	131	0	1	1	0	10	106	0	4	0	0	39	0	0	25	72	0	0	0	0	0	0	0	0	0	716	395	0	0	5	390	0
Precinct 7935 - Election Day	0	0	89	0	0	0	0	1	66	0	0	0	0	11	0	0	0	47	1	0	0	0	0	0	0	0	0	227	215	0	0	0	215	0
Precinct 7935	1	0	220	0	1	1	0	11	172	0	4	0	0	50	0	0	25	119	1	0	0	0	0	0	0	0	0	943	610	0	0	5	605	0
Precinct 7936 - Vote By Mail	1	0	99	2	1	0	0	7	109	0	6	1	0	30	0	0	21	63	0	0	0	0	0	0	0	0	0	620	341	0	0	1	340	0
Precinct 7936 - Election Day	1	0	81	0	2	0	0	0	68	0	0	0	0	8	0	0	0	52	0	0	0	0	0	0	0	0	0	236	213	0	0	0	213	1
Precinct 7936	2	0	180	2	3	0	0	7	177	0	6	1	0	38	0	0	21	115	0	0	0	0	0	0	0	0	0	856	554	0	0	1	553	1
Precinct 7937 - Vote By Mail	1	0	111	0	1	0	0	3	126	0	3	0	0	28	0	0	20	68	0	0	0	0	0	0	0	0	0	698	364	0	0	3	361	0
Precinct 7937 - Election Day	1	0	56	0	1	0	0	0	69	0	0	0	0	1	0	0	1	34	0	0	0	0	0	0	0	0	0	202	163	0	0	0	163	0
Precinct 7937	2	0	167	0	2	0	0	3	195	0	3	0	0	29	0	0	21	102	0	0	0	0	0	0	0	0	0	900	527	0	0	3	524	0
Precinct 7938 - Vote By Mail	1	0	89	0	1	0	0	2	107	0	0	0	0	21	0	0	13	36	1	0	0	0	0	0	0	0	0	536	272	0	0	1	271	0
Precinct 7938 - Election Day	0	0	33	0	0	0	0	0	51	0	0	0	0	5	0	0	0	27	0	0	0	0	0	0	0	0	0	215	116	0	0	0	116	0
Precinct 7938	1	0	122	0	1	0	0	2	158	0	0	0	0	26	0	0	13	63	1	0	0	0	0	0	0	0	0	751	388	0	0	1	387	0
Precinct 7939 - Vote By Mail	0	0	107	0	1	0	0	1	82	0	0	0	1	23	0	0	7	42	0	0	0	0	0	0	0	0	0	481	267	0	2	1	264	0
Precinct 7939 - Election Day	0	0	74	0	0	0	0	1	66	0	0	0	0	8	0	0	0	36	0	0	0	0	0	0	0	0	0	205	186	0	0	1	185	0
Precinct 7939	0	0	181	0	1	0	0	2	148	0	0	0	1	31	0	0	7	78	0	0	0	0	0	0	0	0	0	686	453	0	2	2	449	0
Precinct 7941 - Vote By Mail	0	0	83	0	2	0	0	7	108	0	1	0	0	18	0	1	11	35	2	0	0	0	0	0	0	0	0	576	272	0	3	1	268	0
Precinct 7941 - Election Day	0	0	44	0	0	0	0	0	63	0	0	0	1	7	0	0	1	52	1	0	0	0	0	0	0	0	0	196	170	0	1	0	169	0
Precinct 7941	0	0	127	0	2	0	0	7	171	0	1	0	1	25	0	1	12	87	3	0	0	0	0	0	0	0	0	772	442	0	4	1	437	0
Precinct 7942 - Vote By Mail	0	0	72	0	3	0	0	4	110	0	5	0	0	25	0	0	18	47	2	0	0	0	0	0	0	0	0	658	288	0	0	2	286	0
Precinct 7942 - Election Day	0	0	36	0	1	0	0	0	60	0	1	0	0	0	0	0	1	34	1	0	0	0	0	0	0	0	0	274	134	0	0	0	134	0
Precinct 7942	0	0	108	0	4	0	0	4	170	0	6	0	0	25	0	0	19	81	3	0	0	0	0	0	0	0	0	932	422	0	0	2	420	0
Precinct 7943 - Vote By Mail	0	0	71	0	2	0	0	3	118	0	7	0	0	27	0	0	11	62	0	0	0	0	0	0	0	0	0	687	305	0	1	3	301	0
Precinct 7943 - Election Day	0	0	32	0	0	0	0	0	65	0	0	0	0	9	0	0	2	37	0	0	0	0	0	0	0	0	0	213	146	0	0	0	146	1
Precinct 7943	0	0	103	0	2	0	0	3	183	0	7	0	0	36	0	0	13	99	0	0	0	0	0	0	0	0	0	900	451	0	1	3	447	1
Precinct 7944 - Vote By Mail	0	0	94	0	3	0	0	7	97	0	4	0	0	20	0	0	15	58	3	0	0	0	0	0	0	0	0	584	302	0	0	1	301	0
Precinct 7944 - Election Day	0	0	50	0	0	0	0	0	80	0	0	0	0	10	0	0	0	53	0	0	0	0	0	0	0	0	0	230	194	0	0	1	193	0
Precinct 7944	0	0	144	0	3	0	0	7	177	0	4	0	0	30	0	0	15	111	3	0	0	0	0	0	0	0	0	814	496	0	0	2	494	0
Precinct 7945 - Vote By Mail	0	0	82	0	1	0	0	3	117	0	5	0	0	28	0	1	11	42	1	0	0	0	0	0	0	0	0	726	293	0	2	0	291	0
Precinct 7945 - Election Day	0	0	19	0	0	0	1	0	29	0	1	0	0	3	0	0	0	22	1	0	0	0	0	0	0	0	0	228	76	0	0	0	76	0
Precinct 7945	0	0	101	0	1	0	1	3	146	0	6	0	0	31	0	1	11	64	2	0	0	0	0	0	0	0	0	954	369	0	2	0	367	0
Precinct 7946 - Vote By Mail	0	0	21	0	2	0	0	8	113	0	7	0	2	39	0	0	13	56	1	0	0	0	0	0	0	0	0	779	267	0	0	5	262	0
Precinct 7946 - Election Day	0	0	25	0	0	0	0	0	50	0	1	0	0	6	0	0	1	24	0	0	0	0	0	0	0	0	0	206	107	0	0	0	107	0
Precinct 7946	0	0	46	0	2	0	0	8	163	0	8	0	2	45	0	0	14	80	1	0	0	0	0	0	0	0	0	985	374	0	0	5	369	0
Precinct 7947 - Vote By Mail	2	0	34	0	11	0	0	5	102	0	8	0	0	28	0	0	12	26	0	0	0	0	0	0	0	0	0	792	235	0	0	7	228	0
Precinct 7947 - Election Day	0	0	8	0	0	0	0	1	43	0	0	0	0	4	1	0	0	24	0	0	0	0	0	0	0	0	0	194	82	0	1	0	81	0
Precinct 7947	2	0	42	0	11	0	0	6	145	0	8	0	0	32	1	0	12	50	0	0	0	0	0	0	0	0	0	986	317	0	1	7	309	0
Precinct 7948 - Vote By Mail	0	0	48	0	7	0	0	3	85	0	7	0	0	33	0	0	18	65	0	0	0	0	0	0	0	0	0	730	273	0	2	5	266	0
Precinct 7948 - Election Day	0	0	21	0	2	0	0	1	57	0	1	0	0	9	0	0	0	19	1	0	0	0	0	0	0	0	0	200	111	0	0	0	111	0
Precinct 7948	0	0	69	0	9	0	0	4	142	0	8	0	0	42	0	0	18	84	1	0	0	0	0	0	0	0	0	930	384	0	2	5	377	0
Precinct 7949 - Vote By Mail	0	0	14	0	9	0	0	1	56	0	1	0	1	22	0	0	4	37	0	1	0	0	0	0	0	0	0	484	154	0	1	7	146	0
Precinct 7949 - Election Day	0	0	7	0	0	0	0	0	27	0	0	0	0	1	0	0	0	12	0	0	0	0	0	0	0	0	0	106	48	0	0	1	47	0
Precinct 7949	0	0	21	0	9	0	0	1	83	0	1	0	1	23	0	0	4	49	0	1	0	0	0	0	0	0	0	590	202	0	1	8	193	0
Precinct 7951 - Vote By Mail	0	0	52	0	10	1	0	2	104	1	4	0	0	17	0	0	11	38	3	0	0	0	0	0	0	0	0	731	246	0	0	3	243	0
Precinct 7951 - Election Day	0	0	19	0	2	0	0	1	25	0	0	0	0	4	0	0	0	25	1	0	0	0	0	0	0	0	0	156	77	0	0	0	77	0
Precinct 7951	0	0	71	0	12	1	0	3	129	1	4	0	0	21	0	0	11	63	4	0	0	0	0	0	0	0	0	887	323	0	0	3	320	0
Precinct 7952 - Vote By Mail	0	0	23	0	9	0	0	3	73	0	7	0	0	33	0	0	10	48	0	0	0	0	0	0	0	0	0	730	209	0	0	3	206	0
Precinct 7952 - Election Day	0	0	9	0	0	0	0	0	34	0	0	0	0	5	0	0	1	22	0	0	0	0	0	0	0	0	0	182	71	0	0	0	71	0
Precinct 7952	0	0	32	0	9	0	0	3	107	0	7	0	0	38	0	0	11	70	0	0	0	0	0	0	0	0	0	912	280	0	0	3	277	0
Precinct 7953 - Vote By Mail	0	0	29	0	5	0	0	5	81	0	11	0	0	34	0	0	15	49	3	0	0	0	0	0	0	0	0	669	233	0	0	1	232	0
Precinct 7953 - Election Day	0	0	9	0	2	0	0	0	37	0	0	0	0	9	0	0	1	36	0	0	0	0	0	0	0	0	0	161	94	0	0	0	94	0
Precinct 7953	0	0	38	0	7	0	0	5	118	0	11	0	0	43	0	0	16	85	3	0	0	0	0	0	0	0	0	830	327	0	0	1	326	0
Precinct 7955 - Vote By Mail	0	0	29	0	6	1	1	2	92	0	5	0	0	38	0	0	11	62	0	0	0	0	0	0	0	0	0	774	252	0	1	4	247	0
Precinct 7955 - Election Day	0	0	13	0	1	0	0	0	36	0	0	0	0	9	0	0	0	25	2	0	0	0	0	0	0	0	0	173	87	0	0	1	86	0
Precinct 7955	0	0	42	0	7	1	1	2	128	0	5	0	0	47	0	0	11	87	2	0	0	0	0	0	0	0	0	947	339	0	1	5	333	0
Precinct 7956 - Vote By Mail	0	1	10	0	5	0	0	1	88	0	4	0	0	20	0	0	8	23	0	0	0	0	0	0	0	0	0	699	167	0	0	7	160	0
Precinct 7956 - Election Day	0	0	4	0	2	0	0	0	22	0	1	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	170	37	0	0	1	36	0
Precinct 7956	0	1	14	0	7	0	0	1	110	0	5	0	0	23	0	0	8	27	0	0	0	0	0	0	0	0	0	869	204	0	0	8	196	0
Precinct 7957 - Vote By Mail	0	0	28	0	2	0	0	5	66	0	3	0	2	25	1	2	8	51	1	0	0	0	0	0	0	0	0	538	196	0	0	2	194	0
Precinct 7957 - Election Day	0	0	14	0	0	0	0	0	28	0	0	0	0	6	0	0	0	34	0	0	0	0	0	0	0	0	0	135	83	0	0	1	82	0
Precinct 7957	0	0	42	0	2	0	0	5	94	0	3	0	2	31	1	2	8	85	1	0	0	0	0	0	0	0	0	673	279	0	0	3	276	0
Precinct 7958 MB - Vote By Mail	0	0	12	0	0	0	0	2	38	0	1	0	0	12	0	0	2	15	0	0	0	0	0	0	0	0	0	320	83	0	0	1	82	0
Precinct 7958 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-23	0	0	0	0	0	0
Precinct 7958 MB	0	0	12	0	0	0	0	2	38	0	1	0	0	12	0	0	2	15	0	0	0	0	0	0	0	0	0	297	83	0	0	1	82	0
Precinct 7959 - Vote By Mail	2	0	57	0	2	0	0	3	74	0	0	1	0	17	0	0	17	27	2	0	0	0	0	0	0	0	0	541	202	0	0	0	202	0
Precinct 7959 - Election Day	0	0	14	0	0	0	0	0	38	0	0	0	0	4	0	0	0	11	0	0	0	0	0	0	0	0	0	145	67	0	0	0	67	0
Precinct 7959	2	0	71	0	2	0	0	3	112	0	0	1	0	21	0	0	17	38	2	0	0	0	0	0	0	0	0	686	269	0	0	0	269	0
Precinct 9001 MB - Vote By Mail	0	0	9	0	1	0	0	2	27	0	0	0	1	17	0	2	1	17	3	0	0	0	0	0	0	0	0	314	80	0	0	0	80	0
Precinct 9001 MB - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30	0	0	0	0	0	0
Precinct 9001 MB	0	0	9	0	1	0	0	2	27	0	0	0	1	17	0	2	1	17	3	0	0	0	0	0	0	0	0	284	80	0	0	0	80	0
Precinct 9101 - Vote By Mail	1	0	67	1	6	0	0	8	94	0	0	0	0	47	1	0	10	47	1	0	0	0	0	0	0	0	0	712	287	0	0	4	283	0
Precinct 9101 - Election Day	0	0	39	0	1	0	0	0	65	0	0	0	0	13	0	0	0	54	4	0	0	0	0	0	0	0	0	201	176	0	0	0	176	0
Precinct 9101	1	0	106	1	7	0	0	8	159	0	0	0	0	60	1	0	10	101	5	0	0	0	0	0	0	0	0	913	463	0	0	4	459	0
Precinct 9102 - Vote By Mail	0	0	80	0	8	0	0	10	94	0	6	0	0	41	0	0	13	64	0	0	0	0	0	0	0	0	0	788	320	0	0	4	316	0
Precinct 9102 - Election Day	0	1	24	0	0	0	0	0	68	0	2	0	0	18	0	0	0	40	2	0	0	0	0	0	0	0	0	204	155	0	0	0	155	0
Precinct 9102	0	1	104	0	8	0	0	10	162	0	8	0	0	59	0	0	13	104	2	0	0	0	0	0	0	0	0	992	475	0	0	4	471	0
Precinct 9103 - Vote By Mail	1	0	52	0	6	0	0	8	92	0	3	0	1	34	0	0	22	54	1	0	0	0	0	0	0	0	0	719	278	0	2	2	274	0
Precinct 9103 - Election Day	0	0	30	1	1	0	1	0	64	0	0	0	0	24	0	0	0	46	2	0	0	0	0	0	0	0	0	238	170	0	0	1	169	0
Precinct 9103	1	0	82	1	7	0	1	8	156	0	3	0	1	58	0	0	22	100	3	0	0	0	0	0	0	0	0	957	448	0	2	3	443	0
Precinct 9104 - Vote By Mail	0	0	64	0	4	0	0	3	111	0	3	0	0	32	0	0	17	40	2	2	0	0	0	0	0	0	0	810	283	0	0	5	278	0
Precinct 9104 - Election Day	0	0	53	0	0	1	0	0	69	0	1	0	0	14	0	0	0	26	2	0	0	0	0	0	0	0	0	220	166	0	0	0	166	0
Precinct 9104	0	0	117	0	4	1	0	3	180	0	4	0	0	46	0	0	17	66	4	2	0	0	0	0	0	0	0	1,030	449	0	0	5	444	0
Precinct 9105 - Vote By Mail	0	0	79	0	5	0	0	7	88	0	5	0	0	58	0	1	15	65	2	0	0	0	0	0	0	0	0	719	325	0	0	0	325	0
Precinct 9105 - Election Day	0	0	34	0	1	0	0	0	68	0	0	0	0	23	0	0	0	75	2	0	0	0	0	0	0	0	0	199	205	0	1	1	203	0
Precinct 9105	0	0	113	0	6	0	0	7	156	0	5	0	0	81	0	1	15	140	4	0	0	0	0	0	0	0	0	918	530	0	1	1	528	0
